Date,Close,Volume,Open,High,Low
10/03/2019,268.15,9068810,267.78,268.843,257.01
10/02/2019,268.03,7773299,263.61,269.35,262.19
10/01/2019,269.58,8786284,267.35,272.2,264.03
09/30/2019,267.62,6823100,264,268.88,262.78
09/27/2019,263.08,7367491,266.175,267.44,260.39
09/26/2019,263.31,7696858,266.42,268.05,260.2
09/25/2019,264.75,11846750,255.71,266.6,253.7
09/24/2019,254.59,16392810,262.5,265,252.28
09/23/2019,265.92,13610290,268.345,273.39,261.89
09/20/2019,270.75,23954190,280.26,282.5,266
09/19/2019,286.6,8545761,291.56,293.81,283.4
09/18/2019,291.56,7841539,294.99,296.05,287.45
09/17/2019,298.6,4817119,294.5,299.15,291.79
09/16/2019,294.29,5307386,294.23,297.43,289.78
09/13/2019,294.15,6583124,290.61,296.62,290.04
09/12/2019,288.86,5010927,288.1,292.73,286.6
09/11/2019,288.27,7405949,285.7,292.65,284.61
09/10/2019,287.99,12320250,291.16,297.17,282.6629
09/09/2019,294.34,8232744,294.81,301.55,290.6
09/06/2019,290.17,5166556,293.35,293.35,287.03
09/05/2019,293.25,8972356,285.32,293.97,282.785
09/04/2019,291.52,4653665,291.25,292.38,286.51
09/03/2019,289.29,3684177,290.82,293.9,288.06
08/30/2019,293.75,4447990,298.78,298.94,290.85
08/29/2019,296.78,4392532,295,299.93,294.99
08/28/2019,291.77,3958043,289.47,292.82,287.75
08/27/2019,291.03,6314559,294.54,296.77,287.1968
08/26/2019,294.98,4696982,295.24,296.95,292.5
08/23/2019,291.44,6331189,295,299.01,290.32
08/22/2019,296.93,4977042,298.65,300.33,293.15
08/21/2019,297.81,5689746,301.61,302.88,296.2
08/20/2019,298.99,7352162,304.57,305,297.6811
08/19/2019,309.38,4951733,306.25,311.75,304.75
08/16/2019,302.8,7090757,298.86,303.55,296.27
08/15/2019,295.76,9683384,299.5,300.63,288
08/14/2019,299.11,7355753,308.01,308.41,298.005
08/13/2019,312.28,5338761,309.77,316.43,308.16
08/12/2019,310.83,6531722,305.46,312.89,303.24
08/09/2019,308.93,5349059,313.74,316.64,305.68
08/08/2019,315.9,5905865,311.03,316.3648,306.63
08/07/2019,304.29,9322433,302.56,305,296.8126
08/06/2019,310.1,6179090,310.58,311.88,305.3
08/05/2019,307.63,8692485,310.96,313.4179,304.677
08/02/2019,318.83,6280343,317.49,319.41,311.8
08/01/2019,319.5,6563156,324.25,328.58,318.735
07/31/2019,322.99,6259494,325.16,331.77,318.53
07/30/2019,325.93,6029320,329.2,329.65,323.23
07/29/2019,332.7,5782817,335.98,336.4,328.77
07/26/2019,335.78,10847500,328.79,336,327.5
07/25/2019,326.46,10798500,318.86,327.69,316.3
07/24/2019,317.94,11961820,310.51,319.99,307.25
07/23/2019,307.3,9171068,311.44,313.5,306
07/22/2019,310.62,17725330,312,314.54,305.81
07/19/2019,315.1,16302480,323.4,325.85,314.23
07/18/2019,325.21,31305900,323.76,329.85,320.3
07/17/2019,362.44,13639540,366.25,366.5,361.75
07/16/2019,365.99,5863222,370.09,371.34,364.92
07/15/2019,366.6,7944680,372.94,373.68,362.3
07/12/2019,373.25,6636937,378.68,379.7375,372.7917
07/11/2019,379.5,4336287,381.1,384.54,378.8
07/10/2019,381,5878790,382.77,384.3399,377.4
07/09/2019,379.93,6932822,379.06,384.76,377.5
